pr,propierty,class
1024,99.12,1
1025,93.99,1
1026,95.04,1
1027,95.74,1
1028,95.13,1
1029,98.72,1
1030,98.75,1
1031,99.18,1
1032,98.61,1
1033,83.88,1
1034,98.78,1
1035,99.41,1
1036,91.15,1
1037,99.94,1
1038,99.94,1
1039,64.17,1
1040,94.3,1
1041,97.98,1
1042,99.39,1
1043,94.18,1
1044,93.76,1
1045,81.13,1
1046,81.26,1
1047,89.58,1
1048,81.4,1
1049,98.43,1
1050,98.26,1
1051,95.22,1
1052,97.87,1
1053,98.12,1
1054,87.5,1
1055,91.89,1
1056,97.36,1
1057,94.15,1
1058,93.09,1
1059,99.53,1
1060,87.9,1
1061,99.97,1
1062,99.94,1
1063,98.74,1
1064,93.71,1
1065,99.54,1
1066,95.67,1
1067,96.84,1
1068,96.57,1
1069,99.65,1
1070,95.58,1
1071,85.83,1
1072,90.32,1
1073,95.36,1
1074,95.31,1
1075,96.58,1
1076,99.98,1
1077,98.96,1
1078,93.97,1
1079,78.41,1
1080,99.17,1
1081,91.9,1
1082,99.36,1
1083,88.66,1
1084,98.94,1
1085,96.08,1
1086,96.39,1
1087,76.94,1
1088,91.61,1
1089,87.93,1
1090,70.16,1
1091,95.59,1
1092,96.69,1
1093,91.16,1
1094,98.26,1
1095,97.2,1
1096,97.92,1
1097,99.89,1
1098,98.57,1
1099,98.49,1
1100,98.55,1
1101,99.39,1
1102,99.38,1
1103,96.28,1
1104,99.98,1
1105,96.75,1
1106,98.6,1
1107,99.62,1
1108,94.56,1
1109,98.12,1
1110,98.55,1
1111,99.8,1
1112,98.86,1
1113,96.26,1
1114,99.95,1
1115,99.35,1
1116,98.43,1
1117,99.98,1
1118,82.01,1
1119,96.17,1
1120,99.91,1
1121,98.72,1
1122,95.81,1
1123,92.32,1
1124,97.77,1
1125,93.06,1
1126,99.75,1
1127,96.9,1
1128,99.86,1
1129,99.07,1
1130,82.56,1
1131,75,1
1132,33.33,1
1133,66.8,1
1134,88.66,1
1135,77.7,3
1136,91.82,3
1137,97.24,3
1138,91.4,3
1139,95.23,3
1140,91.34,3
1141,82.17,3
1142,79.83,3
1143,91.31,3
1144,78.35,3
1145,98.34,3
1146,96.76,3
1147,92.72,3
1148,99.7,3
1149,100,3
1150,98.68,3
1151,91.86,3
1152,100,3
1153,94.33,3
1154,45.95,3
1155,51.63,3
1156,100,3
1157,93.97,3
1158,87.35,3
1159,75.37,3
1160,100,3
1161,90.91,3
1162,50.74,3
1163,100,3
1164,65.88,3
1165,66.12,3
1166,53.48,3
1167,91.26,3
1168,76.11,3
1169,90.41,3
1170,95.84,3
